ticker,date,actual,t1,t3,t5
TSLA,2020-12-07,213.92,133.75291231259584,133.75291231259584,133.75291231259584
TSLA,2020-12-08,216.62666,133.64229712766306,133.64229712766306,133.64229712766306
TSLA,2020-12-09,201.49333,132.04650748396583,132.04650748396583,132.04650748396583
TSLA,2020-12-10,209.02333,129.96726855966088,129.96726855966088,129.96726855966088
TSLA,2020-12-11,203.33,128.0566603939741,128.0566603939741,128.0566603939741
TSLA,2020-12-14,213.27667,127.22208876361749,127.22208876361749,127.22208876361749
TSLA,2020-12-15,211.08333,127.73104871053818,127.73104871053818,127.73104871053818
TSLA,2020-12-16,207.59,129.46720045196113,129.46720045196113,129.46720045196113
TSLA,2020-12-17,218.63333,132.00777853981012,132.00777853981012,132.00777853981012
TSLA,2020-12-18,231.66667,133.27491761880498,133.27491761880498,133.27491761880498
TSLA,2020-12-21,216.62,133.78953123264967,133.78953123264967,133.78953123264967
TSLA,2020-12-22,213.44667,132.3861812649429,132.3861812649429,132.3861812649429
TSLA,2020-12-23,215.32666,130.80968221606972,130.80968221606972,130.80968221606972
TSLA,2020-12-24,220.59,128.9595446625638,128.9595446625638,128.9595446625638
TSLA,2020-12-28,221.23,127.73511578297567,127.73511578297567,
TSLA,2020-12-29,221.99667,128.1093570749936,128.1093570749936,
TSLA,2020-12-30,231.59334,129.28172626163337,,
TSLA,2020-12-31,235.22333,131.15703768609532,,
AAPL,2020-11-02,108.77,109.27726680892725,109.27726680892725,109.27726680892725
AAPL,2020-11-03,110.44,109.60510936641457,109.60510936641457,109.60510936641457
AAPL,2020-11-04,114.95,108.59122177450837,108.59122177450837,108.59122177450837
AAPL,2020-11-05,119.03,110.14802928882285,110.14802928882285,110.14802928882285
AAPL,2020-11-06,118.69,108.25591094743018,108.25591094743018,108.25591094743018
AAPL,2020-11-09,116.32,110.23712817153489,110.23712817153489,110.23712817153489
AAPL,2020-11-10,115.97,108.41809320146629,108.41809320146629,108.41809320146629
AAPL,2020-11-11,119.49,109.84610463022022,109.84610463022022,109.84610463022022
AAPL,2020-11-12,119.21,108.98497077903099,108.98497077903099,108.98497077903099
AAPL,2020-11-13,119.26,109.18227888277343,109.18227888277343,109.18227888277343
AAPL,2020-11-16,120.3,109.659326970356,109.659326970356,109.659326970356
AAPL,2020-11-17,119.39,108.58222594385151,108.58222594385151,108.58222594385151
AAPL,2020-11-18,118.03,110.11323626126446,110.11323626126446,110.11323626126446
AAPL,2020-11-19,118.64,108.33219807313793,108.33219807313793,108.33219807313793
AAPL,2020-11-20,117.34,110.13163480707357,110.13163480707357,110.13163480707357
AAPL,2020-11-23,113.85,108.54180586624337,108.54180586624337,108.54180586624337
AAPL,2020-11-24,115.17,109.72300684223931,109.72300684223931,109.72300684223931
AAPL,2020-11-25,116.03,109.09026953292806,109.09026953292806,109.09026953292806
AAPL,2020-11-27,116.59,109.10487912339188,109.10487912339188,109.10487912339188
AAPL,2020-11-30,119.05,109.70116053654543,109.70116053654543,109.70116053654543
AAPL,2020-12-01,122.72,108.58370036116922,108.58370036116922,108.58370036116922
AAPL,2020-12-02,123.08,110.06999864713605,110.06999864713605,110.06999864713605
AAPL,2020-12-03,122.94,108.40985031406831,108.40985031406831,108.40985031406831
AAPL,2020-12-04,122.25,110.02710538700019,110.02710538700019,110.02710538700019
AAPL,2020-12-07,123.75,108.65597895129271,108.65597895129271,108.65597895129271
AAPL,2020-12-08,124.38,109.61475289406872,109.61475289406872,109.61475289406872
AAPL,2020-12-09,121.78,109.18395997075974,109.18395997075974,109.18395997075974
AAPL,2020-12-10,123.24,109.04018163705558,109.04018163705558,109.04018163705558
AAPL,2020-12-11,122.41,109.72473827657154,109.72473827657154,109.72473827657154
AAPL,2020-12-14,121.78,108.59500093265682,108.59500093265682,108.59500093265682
AAPL,2020-12-15,127.88,110.01981529107252,110.01981529107252,110.01981529107252
AAPL,2020-12-16,127.81,108.49038742611502,108.49038742611502,108.49038742611502
AAPL,2020-12-17,128.7,109.9266625373529,109.9266625373529,109.9266625373529
AAPL,2020-12-18,126.66,108.76272493620132,108.76272493620132,108.76272493620132
AAPL,2020-12-21,128.23,109.5143272331604,109.5143272331604,109.5143272331604
AAPL,2020-12-22,131.88,109.2632545849328,109.2632545849328,109.2632545849328
AAPL,2020-12-23,130.96,108.99111795786247,108.99111795786247,108.99111795786247
AAPL,2020-12-24,131.97,109.74056173878533,109.74056173878533,109.74056173878533
AAPL,2020-12-28,136.69,108.61799223882598,108.61799223882598,
AAPL,2020-12-29,134.87,109.96495670298904,109.96495670298904,
AAPL,2020-12-30,133.72,108.56860067337199,,
AAPL,2020-12-31,132.69,109.83517975104415,,
BA,2020-11-02,148.6,144.2830466177888,144.2830466177888,144.2830466177888
BA,2020-11-03,153.65,143.51749471184993,143.51749471184993,143.51749471184993
BA,2020-11-04,151.63,143.75103846327158,143.75103846327158,143.75103846327158
BA,2020-11-05,157.09,143.39291132112388,143.39291132112388,143.39291132112388
BA,2020-11-06,157.74,143.3882717182833,143.3882717182833,143.3882717182833
BA,2020-11-09,179.36,143.265947828083,143.265947828083,143.265947828083
BA,2020-11-10,188.69,143.33981759733896,143.33981759733896,143.33981759733896
BA,2020-11-11,182.15,143.19270573009837,143.19270573009837,143.19270573009837
BA,2020-11-12,176.72,143.52702815802414,143.52702815802414,143.52702815802414
BA,2020-11-13,187.11,143.4406001623809,143.4406001623809,143.4406001623809
BA,2020-11-16,202.4,143.48971101926858,143.48971101926858,143.48971101926858
BA,2020-11-17,210.05,143.46799450537634,143.46799450537634,143.46799450537634
BA,2020-11-18,203.3,143.44803055047646,143.44803055047646,143.44803055047646
BA,2020-11-19,205.67,143.46015281958472,143.46015281958472,143.46015281958472
